4b971d6e-a3ba-49c6-b426-c451f771a7dd|firm|Rave||1|550.0
127f2a4d-4c1d-448c-8702-1e0a34ae791e|black mamba|GreenTech Expo 2025|VIP|1|800.0
d58e9f86-49bc-4bb9-ae87-003ff25f95b4|guest|GreenTech Expo 2025|VIP|1|800.0
5e42f26a-3790-4f04-b322-4d76a2824e16|guest|Tech Conference|VIP|1|750.0
a8cc7bcb-2017-4008-bac9-5d399233fb78|guest|GreenTech Expo 2025|VIP|1|800.0
c3081480-54a4-42f9-8ce9-cc07f5e11c45|user|GreenTech Expo 2025|Standard|4|1600.0
b86cd585-058b-4037-b9a1-785758eaf550|user|GreenTech Expo 2025|Standard|3|1200.0
1b0334b1-db23-4035-bcf8-7a8577b2f033|user|GreenTech Expo 2025|Standard|3|1200.0
bfb9c405-9e11-4235-8f01-a260df879401|user|GreenTech Expo 2025|Standard|4|1600.0
6bc7aa88-5e36-4ddb-b88e-28fd4d2be6f5|user|GreenTech Expo 2025|VIP|4|3200.0
c4e502aa-a117-4e99-98ae-394842777ed2|user|GreenTech Expo 2025|Standard|4|1600.0
becd990b-e5d7-47dd-8d09-bea0cd13ad99|user|GreenTech Expo 2025|VIP|1|800.0
2fcb8af2-9555-4b48-a559-c615902dae82|user|GreenTech Expo 2025|Standard|1|400.0
f593bddf-5cb2-4e05-a8a2-dc13c881fe8d|user|GreenTech Expo 2025|VIP|1|800.0
d6b24aab-3336-4c1a-bc8d-38ddb3738456|user|GreenTech Expo 2025|VIP|1|800.0
3747e80a-928a-42c6-aa24-4b504d808805|user|GreenTech Expo 2025|VIP|1|800.0
a5af2ece-a76e-4ec3-94d7-40af5f84c76d|user|GreenTech Expo 2025|Standard|1|400.0
917e994b-6bbc-42ae-919c-e9e37f1e9115|user|Tech Conference|Regular|6|2100.0
6b4742aa-32cf-4987-8d08-d34977f9c1ff|user|Tech Conference|Regular|4|1400.0
2caf3935-12be-405c-839b-4d0435e6dcc9|user|Tech Conference|Regular|4|1400.0
